11/26/2025,,,,105574,,0.000
BINGO STOCK SHEET ,,,,,,
BIN NO,SKU,BATCH,DESCRIPTION,CFC, UOM ,QTY
E34,FXC72030SA,Z22SEP25,0,201,  -   ,0.000
E34,,,0,,  -   ,0.000
E34,,,0,,  -   ,0.000
E35,FXC20005SC,Z06NOV25,0,240,  -   ,0.000
E36,FXC50005S,Z25NOV25,0,180,  -   ,0.000
E36,,,0,,  -   ,0.000
E37,,,0,,  -   ,0.000
E37,,,0,,  -   ,0.000
E38,FXC170005S,Z04NOV25,0,240,  -   ,0.000
E38,,,0,,  -   ,0.000
E39,FXC10005SLA,Z25OCT25,0,75,  -   ,0.000
E39,FXC30020SA,Z15NOV25,0,28,  -   ,0.000
E39,FXC60005S,Z14NOV25,0,15,  -   ,0.000
E39,,,0,,  -   ,0.000
E40,FXC71010S,Z22NOV25,0,240,  -   ,0.000
E41,FXC30020SA,Z31OCT25,0,15,  -   ,0.000
E41,FXC70020SB,Z21NOV25,0,8,  -   ,0.000
E41,FXC70051S,Z21NOV25,0,1,  -   ,0.000
E41,FXC71010S,Z17NOV25,0,11,  -   ,0.000
E41,FXC71020SA,Z21NOV25,0,18,  -   ,0.000
E41,FXC74020SA,Z19NOV25,0,90,  -   ,0.000
E41,,,0,,  -   ,0.000
E42,,,0,,  -   ,0.000
F01,FXC170005S,Z04NOV25,0,240,  -   ,0.000
F01,,,0,,  -   ,0.000
F02,FXC70010S,Z22NOV25,0,270,  -   ,0.000
F03,FXC50005S,Z24NOV25,0,240,  -   ,0.000
F04,FXC30005SLA,Z25NOV25,0,240,  -   ,0.000
F05,,,0,,  -   ,0.000
F06,FXC30005SLA,Z25NOV25,0,240,  -   ,0.000
F06,FXC70010S,Z21NOV25,0,240,  -   ,0.000
F07,FXC30005SLA,Z25NOV25,0,240,  -   ,0.000
F08,FXC70010S,Z21NOV25,0,240,  -   ,0.000
F09,FXC70010S,Z21NOV25,0,240,  -   ,0.000
F10,FXC30010SA,Z25NOV25,0,128,  -   ,0.000
F10,FXC71010S,Z30OCT25,0,11,  -   ,0.000
F10,,,0,,  -   ,0.000
F11,FXC70010S,Z22NOV25,0,240,  -   ,0.000
F12,FXC30005SLA,Z01NOV25,0,213,  -   ,0.000
F13,FXC50005S,Z24NOV25,0,42,  -   ,0.000
F13,FXC70020SB,Z12NOV25,0,79,  -   ,0.000
F13,,,0,,  -   ,0.000
F14,FXC50005S,Z15NOV25,0,132,  -   ,0.000
F14,FXC70010S,Z22NOV25,0,60,  -   ,0.000
F14,FXC71010S,Z30OCT25,0,21,  -   ,0.000
F15,FXC50005S,Z15NOV25,0,240,  -   ,0.000
F16,FXC70051S,Z21NOV25,0,240,  -   ,0.000
F17,FXC170005S,Z03NOV25,0,98,  -   ,0.000
F17,,,0,,  -   ,0.000
F18,FXC170005S,Z03NOV25,0,240,  -   ,0.000
F19,FXC10005SLA,Z05NOV25,0,142,  -   ,0.000
